bundle,devices,price_inr,carry_weight_kg,battery_hours_min,ram_gb_sum,storage_tb_sum,learning_hours_sum,maintenance_hours_per_year_sum,power_adequacy_score_avg,need_ram_ok,need_storage_ok,need_battery_ok,need_weight_ok,feasible_all_needs
Mac Studio (M4 Max or M3 Ultra) + iPad Air 11″ (M3),"[""Mac Studio (M4 Max or M3 Ultra)"", ""iPad Air 11\u2033 (M3)""]",274800.0,,,36,9.0,,,9.8,True,True,False,False,False
Mac Studio (M4 Max or M3 Ultra) + iPad Air 13″ (M3),"[""Mac Studio (M4 Max or M3 Ultra)"", ""iPad Air 13\u2033 (M3)""]",294800.0,,,36,9.0,,,9.8,True,True,False,False,False
Mac Studio (M4 Max or M3 Ultra) + iPad 11″ (A16),"[""Mac Studio (M4 Max or M3 Ultra)"", ""iPad 11\u2033 (A16)""]",249800.0,,,36,8.512,,,9.8,True,True,False,False,False
Mac Studio (M4 Max or M3 Ultra) + iPad mini 8.3″ (A17 Pro),"[""Mac Studio (M4 Max or M3 Ultra)"", ""iPad mini 8.3\u2033 (A17 Pro)""]",264800.0,,,36,8.512,,,9.8,True,True,False,False,False
Mac Pro (M2 Ultra) + iPad Pro 11″ (M4),"[""Mac Pro (M2 Ultra)"", ""iPad Pro 11\u2033 (M4)""]",829800.0,,,64,10.0,,,9.2,True,True,False,False,False
Mac Pro (M2 Ultra) + iPad Pro 13″ (M4),"[""Mac Pro (M2 Ultra)"", ""iPad Pro 13\u2033 (M4)""]",859800.0,,,64,10.0,,,9.2,True,True,False,False,False
Mac Pro (M2 Ultra) + iPad Air 11″ (M3),"[""Mac Pro (M2 Ultra)"", ""iPad Air 11\u2033 (M3)""]",789800.0,,,64,9.0,,,9.2,True,True,False,False,False
Mac Pro (M2 Ultra) + iPad Air 13″ (M3),"[""Mac Pro (M2 Ultra)"", ""iPad Air 13\u2033 (M3)""]",809800.0,,,64,9.0,,,9.2,True,True,False,False,False
Mac Pro (M2 Ultra) + iPad 11″ (A16),"[""Mac Pro (M2 Ultra)"", ""iPad 11\u2033 (A16)""]",764800.0,,,64,8.512,,,9.2,True,True,False,False,False
Mac Pro (M2 Ultra) + iPad mini 8.3″ (A17 Pro),"[""Mac Pro (M2 Ultra)"", ""iPad mini 8.3\u2033 (A17 Pro)""]",779800.0,,,64,8.512,,,9.2,True,True,False,False,False
